pitch_type,pitch,release_speed,pfx_z,pfx_x,release_spin_rate,release_pos_x,release_pos_z,release_extension,delta_run_exp,swing,whiff,in_zone,out_zone,chase,xwoba,xwobacon,pitch_usage,whiff_rate,in_zone_rate,chase_rate,delta_run_exp_per_100
CH,15175,85.64475782537068,4.478660955518946,-5.275251769999338,1798.7768398839357,-0.634971334431631,5.7069607907743,6.439379160350622,48.342,7469,2231,5947,9228,2990,0.29690790535491907,0.35581632653061224,0.10435864990509724,0.2987012987012987,0.39189456342668866,0.32401387082791505,-0.31856342668863263
CS,65,69.75846153846155,-3.5058461538461536,4.543384615384616,2420.523076923077,0.18876923076923077,5.588461538461538,5.618461538461538,-2.595,22,7,31,34,10,0.0309,0.0618,0.0004470057491816356,0.3181818181818182,0.47692307692307695,0.29411764705882354,3.992307692307693
CU,9233,79.42364345283224,-9.640706162677354,5.251380208333333,2591.594755661502,-0.882526806021878,5.914290046572078,6.385073656845754,39.61,3820,1109,4047,5186,1479,0.2798061511027687,0.3593309037900875,0.06349544741836988,0.29031413612565443,0.4383190728907181,0.2851908985730814,-0.4290046572078415
EP,129,48.872093023255815,13.654883720930233,-2.687603305785124,1167.6666666666667,-1.4117829457364341,6.7444961240310075,4.373643410852713,8.876,60,1,44,85,24,0.4987073269230769,0.48162499999999997,0.0008871344868374,0.016666666666666666,0.34108527131782945,0.2823529411764706,-6.880620155038759
FA,110,69.06090909090909,16.953818181818182,-4.7706122448979595,1740.7727272727273,-0.7716363636363636,6.599181818181818,4.472727272727273,5.9030000000000005,43,1,37,73,19,0.5006523947368421,0.4411851851851851,0.0007564712678458449,0.023255813953488372,0.33636363636363636,0.2602739726027397,-5.366363636363636
FC,11379,89.46222866684242,8.317194832586344,1.3491286745291322,2418.1133386089864,-1.0428728359258284,5.8021355127867125,6.372239803094234,-14.485000000000001,5496,1120,6049,5330,1435,0.35745712567132115,0.38369913211186113,0.07825351415288972,0.20378457059679767,0.5315932858774937,0.2692307692307692,0.12729589594867738
FF,46161,94.16598643876866,16.06204458308962,-3.5384081632653066,2303.1761491760626,-0.8465293212885336,5.808588635428175,6.525895507833662,-18.273000000000017,22292,4064,25842,20319,4875,0.3589946911700359,0.4077999736460667,0.31744972904574587,0.18230755427956216,0.559823227399753,0.2399232245681382,0.03958536426853841
FO,139,83.02086330935252,0.11050359712230215,-9.700143884892086,1159.294964028777,-2.073956834532374,5.903884892086331,6.327338129496403,-5.551,76,33,42,97,42,0.19116847727272726,0.27405555555555555,0.0009559046020961131,0.4342105263157895,0.302158273381295,0.4329896907216495,3.9935251798561153
FS,5530,86.49698010849909,3.123363471971067,-9.336108499095841,1334.1188279978296,-1.628159132007233,5.738386980108499,6.572802893309222,-41.107,2859,932,2121,3409,1197,0.24444402272727275,0.3244026503567788,0.03802987373806838,0.3259881077299755,0.38354430379746834,0.351129363449692,0.7433453887884267
KC,2070,82.47657004830918,-9.550840579710144,5.773275362318841,2467.042995169082,-1.1129082125603864,5.900256038647344,6.393140096618357,10.972999999999999,935,334,840,1230,415,0.26117303488372096,0.3760283687943263,0.014235413858553626,0.3572192513368984,0.4057971014492754,0.33739837398373984,-0.5300966183574879
PO,15,90.68,13.703999999999999,-6.304,2258.133333333333,-1.5653333333333335,6.004666666666666,6.239999999999999,0.0,0,0,0,15,0,,,0.00010315517288806976,,0.0,0.0,-0.0
SC,4,85.35,-1.0499999999999998,-8.850000000000001,1004.25,-2.275,5.44,5.475,0.16599999999999998,3,0,4,0,0,0.23700000000000002,0.23700000000000002,2.750804610348527e-05,0.0,1.0,nan,-4.1499999999999995
SI,22369,93.45528633376549,7.458513120836873,-6.46314959924775,2168.084667680472,-0.7915266663686351,5.6170901694309086,6.4122523811653185,-11.106000000000003,10063,1238,12828,9541,2280,0.35766564867068995,0.37142014041246163,0.1538318708222155,0.12302494285998211,0.5734722160132326,0.2389686615658736,0.04964906790647773
SL,21746,85.62647843281523,1.7943437873631933,2.435936981757877,2418.8605089971925,-0.7976620987767865,5.777576565805205,6.407235177774712,-23.374000000000006,10499,3292,10208,11538,3609,0.30825516415197235,0.3897362880886427,0.14954749264159767,0.3135536717782646,0.4694196633863699,0.312792511700468,0.1074864342867654
ST,10727,82.11607159504055,1.329642957024331,7.575084175084175,2572.992069415936,-1.112561760044747,5.469159131164352,6.376112302956814,-24.623000000000005,4755,1433,4815,5912,1703,0.26106019359698684,0.33916882352941174,0.07376970263802163,0.3013669821240799,0.4488673440850191,0.28805818673883626,0.2295422764985551
SV,560,81.5617857142857,-4.445785714285714,4.811027027027027,2531.6875,-0.5439464285714286,5.6359642857142855,6.174107142857143,-1.9820000000000004,236,62,243,317,85,0.2331957361111111,0.27162222222222226,0.0038511264544879376,0.2627118644067797,0.43392857142857144,0.26813880126182965,0.3539285714285715
All,145412,89.1093217891233,7.109333204962452,-1.5745094119836507,2258.0949887139395,-0.8795784391934639,5.744454996836574,6.444046775580394,-29.360000000000014,68637,15861,73098,72314,20163,0.32620240134052175,0.379419580142069,1.0,0.23108527470606233,0.5026957885181416,0.2788256769090356,0.0201909058399582
