pitch_type,p_throws,pfx_z,pfx_x
CH,L,5.163879625864173,14.56601226993865
CH,R,4.150114068441065,-14.765986501027093
CS,L,-8.356,-11.096
CS,R,0.6514285714285715,17.94857142857143
CU,L,-9.109137271568212,-8.76871794871795
CU,R,-9.822505813953487,10.02261780104712
EP,L,-5.82,-7.04
EP,R,14.604878048780488,-2.4605217391304346
FA,L,17.719024390243902,1.7297560975609758
FA,R,16.499130434782607,-9.446315789473683
FC,L,7.915203996669442,-2.212427672955975
FC,R,8.424756600200512,2.2953592514202965
FF,L,16.222589857213197,7.995300717762561
FF,R,16.004460927152316,-7.657565632458233
FO,R,0.11050359712230215,-9.700143884892086
FS,L,6.308604206500956,10.438164435946463
FS,R,2.790653085680048,-11.401605751947274
KC,L,-8.05209549071618,-4.550450928381963
KC,R,-9.884583579444772,8.072179562906083
PO,L,8.82,2.64
PO,R,14.455384615384617,-7.68
SC,R,-1.0499999999999998,-8.850000000000001
SI,L,7.657216128533911,15.47280037111489
SI,R,7.377599396074485,-15.40426824656498
SL,L,1.6586347055758206,-4.559270326615705
SL,R,1.8432072049534054,4.9600351053159475
ST,L,0.7456937799043062,-13.508771647200968
ST,R,1.5078330697165105,13.952379096114022
SV,L,-6.46118918918919,-13.025333333333332
SV,R,-3.4515199999999995,13.37248
